asin,reviewText,overall,category,summary
B000YFSR5G,"The waist string broke first time trying them on. Luckily I don't really need the wast string but it would be nice if it did not break.

That being said the pants fit as expected and are comfortable. Probably shop around next time I make a sweatpant purchase.",3.0,AMAZON_FASHION_5,Don't sweat the pants
B000YFSR5G,"Fit perfectly. I bought dark grey, and they didn't fade",5.0,AMAZON_FASHION_5,Five Stars
B000YFSR5G,They fit great. But they fade bad,3.0,AMAZON_FASHION_5,Three Stars
B000YFSR5G,I only give four stars because the pants have no pockets.,4.0,AMAZON_FASHION_5,Four Stars
B000YFSR5G,Average product.  As described.,3.0,AMAZON_FASHION_5,Three Stars
B000YFSR4W,Comfortable,5.0,AMAZON_FASHION_5,Five Stars
B000YFSR5G,comfy fit,5.0,AMAZON_FASHION_5,Five Stars
B000YFSR5G,Nice pants but too small for a medium. Return it.,2.0,AMAZON_FASHION_5,Returned also
B000YFSR5G,Nice pants but too small for a medium. Returned it.,2.0,AMAZON_FASHION_5,Returned
B000YFSR5G,"Very comfy. If they had pockets, theyd be awesome! I bought these for me to lounge around in and my husband has stolen them. I might have to buy another pair!",4.0,AMAZON_FASHION_5,Comfy and warm.
B000YFSR5G,"Was terribly disappointed, the pants were way too large in the legs, my husband looked like he was wearing blown up clown pants.",1.0,AMAZON_FASHION_5,"Was terribly disappointed, the pants were way too large in ..."
B000YFSR5G,As described.,3.0,AMAZON_FASHION_5,Three Stars
B000YFSR5G,Very comfy for wearing at home.,5.0,AMAZON_FASHION_5,Five Stars
B000YFSR5G,So comfortable and soft.,5.0,AMAZON_FASHION_5,Hanes pants
B000YFSR5G,"Did not fit well. Was not comfortable. Switched to ""Fruit of the loom"". Fruit of the loom are somewhat oversized but fit well and are very comfortable.",2.0,AMAZON_FASHION_5,"Was not comfortable. Switched to ""Fruit of the loom"""
B000YFSR5G,"No pockets and huge, the bottom of the pants go over shoes",3.0,AMAZON_FASHION_5,large with no pockets
B000YFSR5G,Not much for wearing anything other than jeans. These fit OK for my size. Nice for lounging in around the house.,4.0,AMAZON_FASHION_5,Fleece Pants
B000YFSR5G,"Love 'em, just the plain no frills no pockets not too heavy good ol sweatpants.",5.0,AMAZON_FASHION_5,Five Stars
B000YFSR4W,Good product for the price.  Used very day and no problem.,5.0,AMAZON_FASHION_5,Five Stars
B000YFSR4W,Good fit even after washing in hot water to force shrinking. I have a 30 inch inseam and 34 waist and got a medium size. Note that these sweatpants are very thick so not good for warm climates. Good quality and great price.,5.0,AMAZON_FASHION_5,Good fit
B000YFSR5G,"great price for the product, though the sizes tend to be bigger (based on mens size i think).  there wasn't a size chart to refer to when i was ordering, so i ended up buying two, each at a difference size.",4.0,AMAZON_FASHION_5,size runs big
B000YFSR4W,Excellent value.  Comfortable.,5.0,AMAZON_FASHION_5,Excellent Product
B000YFSR4W,"Typical Hanes quality. Good weight, sized just right, made pretty well",5.0,AMAZON_FASHION_5,Typical Quality
B000YFSR4W,"The waist string broke first time trying them on. Luckily I don't really need the wast string but it would be nice if it did not break.

That being said the pants fit as expected and are comfortable. Probably shop around next time I make a sweatpant purchase.",3.0,AMAZON_FASHION_5,Don't sweat the pants
B000YFSR4W,"Fit perfectly. I bought dark grey, and they didn't fade",5.0,AMAZON_FASHION_5,Five Stars
B000YFSR4W,They fit great. But they fade bad,3.0,AMAZON_FASHION_5,Three Stars
B000YFSR4W,I only give four stars because the pants have no pockets.,4.0,AMAZON_FASHION_5,Four Stars
B000YFSR4W,Average product.  As described.,3.0,AMAZON_FASHION_5,Three Stars
B000YFSR4W,comfy fit,5.0,AMAZON_FASHION_5,Five Stars
B000YFSR4W,Nice pants but too small for a medium. Return it.,2.0,AMAZON_FASHION_5,Returned also
B000YFSR4W,Nice pants but too small for a medium. Returned it.,2.0,AMAZON_FASHION_5,Returned
B000YFSR4W,"Very comfy. If they had pockets, theyd be awesome! I bought these for me to lounge around in and my husband has stolen them. I might have to buy another pair!",4.0,AMAZON_FASHION_5,Comfy and warm.
B000YFSR4W,"Was terribly disappointed, the pants were way too large in the legs, my husband looked like he was wearing blown up clown pants.",1.0,AMAZON_FASHION_5,"Was terribly disappointed, the pants were way too large in ..."
B000YFSR4W,As described.,3.0,AMAZON_FASHION_5,Three Stars
B0012DR1LU,Havaiana's are THE BEST!!!,5.0,AMAZON_FASHION_5,Five Stars
B0012DR1LU,Perfect color!,5.0,AMAZON_FASHION_5,I love Havaianas!
B0014F8TIU,Should have listened to other reviews. The elastics does not hold up.,1.0,AMAZON_FASHION_5,One Star
B0014F8TIU,Constantly rolls down,1.0,AMAZON_FASHION_5,One Star
B0014F8TIU,Superrrr thigh high. Im 54 and it easily reaches 3/4 up my thigh!!,5.0,AMAZON_FASHION_5,Great!!! Very high!
B0014F8TIU,I just wish they would not roll down.,4.0,AMAZON_FASHION_5,Cute but will roll
B0014HA6VG,"Sadly, not a true red. It's definitely orange",4.0,AMAZON_FASHION_5,Four Stars
B0014HA6VG,"Well made, soft, thick & so very colorful. Bought the just as gorgeous rich, red Fireman's scarf, too. My little fella is quite the fashion plate! And toasty, too!",5.0,AMAZON_FASHION_5,"Well made, soft, thick & so very colorful ..."
B0017LD0BM,Not pretty for fashion but great around the house and work.,3.0,AMAZON_FASHION_5,Three Stars
B0017LD0BM,"I'm not sure I was shipped the correct style.  The ones I received are a lot clunkier than I expected, although the quality is fine.",2.0,AMAZON_FASHION_5,Huh
B0017LD0BM,Excellent value,4.0,AMAZON_FASHION_5,excellent value and quality
B0017LD0BM,"they are fine for the value, particularly since I lose so many
reading glasses.  some of the screws do require constant
tightening.",3.0,AMAZON_FASHION_5,loose screws
B0017LD0BM,"It is so handy to have this many reading glasses at such a reasonable price.  I like this style reading glasses instead of the ones with nose pieces, I find this style more comfortable.  These glasses are very nice...cheaper than Walmart!",4.0,AMAZON_FASHION_5,Good Value
B0017LGD34,Not pretty for fashion but great around the house and work.,3.0,AMAZON_FASHION_5,Three Stars
B0017LGD34,"I'm not sure I was shipped the correct style.  The ones I received are a lot clunkier than I expected, although the quality is fine.",2.0,AMAZON_FASHION_5,Huh
B0017LGD34,Excellent value,4.0,AMAZON_FASHION_5,excellent value and quality
B0017LGD34,"they are fine for the value, particularly since I lose so many
reading glasses.  some of the screws do require constant
tightening.",3.0,AMAZON_FASHION_5,loose screws
B0017LGD34,"It is so handy to have this many reading glasses at such a reasonable price.  I like this style reading glasses instead of the ones with nose pieces, I find this style more comfortable.  These glasses are very nice...cheaper than Walmart!",4.0,AMAZON_FASHION_5,Good Value
B001IKJOLW,Good light weight shoe...had to add insole for more support.,4.0,AMAZON_FASHION_5,Four Stars
B001IKJOLW,I love my tennis shoes,5.0,AMAZON_FASHION_5,Five Stars
B001IKJOLW,"This is a shoe I will wear with black dress pants or jeans when I need comfort and a little style, but I am not impressed.  This is a very flimsy shoe with little support at all.  Not like any Nike I've ever purchased in the past.  It looks nice, but it's not comfortable.",3.0,AMAZON_FASHION_5,"LOOKS GOOD, FEELS ICKY!"
B001IKJOLW,"Love it!! Super comfortable and nice!! Got more than I expected, super flexible great for training. Definetly recommend it.",5.0,AMAZON_FASHION_5,Love it!! Definetly recommend it
B001IKJOLW,Excelente,5.0,AMAZON_FASHION_5,Five Stars
B001IKJOLW,"These shoes are poorly constructed and I don't expect them to last more that one summer.  Would not recommend, and will not order another Nike downshifter series again",2.0,AMAZON_FASHION_5,Cheap
B001IKJOLW,"For the price I spent on the pair of shoes, I'd say it's as good as expected.
It's comfortable and doesn't hurt my feet when I run.",4.0,AMAZON_FASHION_5,Pretty comfortable pair of running shoes
B001IKJOLW,I always get a half size up in my tennis shoes. For some reason these feel to big in the heel area and wide.,3.0,AMAZON_FASHION_5,I always get a half size up in my tennis ...
B001IKJOLW,Put them on and walked 3 hours with no problem! Love them! So light feeling,5.0,AMAZON_FASHION_5,Love them! So light feeling
B001IKJOLW,excelente,5.0,AMAZON_FASHION_5,Five Stars
B001IKJOLW,"Love these shoes!
So stylish and comfortable. Just got back from a trip to NYC, Black and white Nikes and yoga pants are in high fashion right now!",5.0,AMAZON_FASHION_5,Love these shoes
B001IKJOLW,"This shoe is JUST OK. Its not as comfortable as I was expecting, compared to my last pair of NIKE shoes. I hope they hold up.",3.0,AMAZON_FASHION_5,Its not as comfortable as I was expecting
B001IKJOLW,Best tennis shoes I've had all my life. Very comfortable out the box. I would buy 10 pairs of these shoes if had the money.,5.0,AMAZON_FASHION_5,Very Comfortable
B001IKJOLW,The color pattern and fit is what I liked the most what I liked the least is that they are not easy to clean and stains do not come out very easy or at all,5.0,AMAZON_FASHION_5,The color pattern and fit is what I liked the most what I liked the least is that ...
B001IKJOLW,"love these shoes. Workout in them 3-4 times a week at the gym. I do treadmill, stairmaster, cardio classes and weight lifting. lightweight and versatile shoe.",5.0,AMAZON_FASHION_5,Great shoe for the price!
B001IKJOLW,"Great shoe. I've had Nike's before and have always been pleased with the comfort, performance, and quality. Though I will say this was the first time I ordered a pair online without trying them on first, so I was nervous. But this turned out to be a great choice. Breathable, lightweight but sturdy, and comfortable during all my workouts. The built-in arch support is great and I've had no discomfort after 2 weeks of use. As far as the sole thickness and cushioning goes, I would consider these a 'medium' build (not thin, not overly thick) so if you're into heavy running outdoors then take that into consideration. Everyone is different in their preference for cushioning, but I think for light runs on a treadmill they would be sufficient. Love these, highly recommend!",5.0,AMAZON_FASHION_5,Great shoe!
B001IKJOLW,The material is real then hope they don't fall apart . to expensive for what you get.,3.0,AMAZON_FASHION_5,Three Stars
B001IKJOLW,Nice,3.0,AMAZON_FASHION_5,Three Stars
B001IKJOLW,Gracias,5.0,AMAZON_FASHION_5,Five Stars
B001IKJOLW,Love these shoes!! They are true to size and very comfortable!! This is my second pair - I wore out the first pair!! Good arch support - I have a high arch!!,5.0,AMAZON_FASHION_5,Love these shoes
B001IKJOLW,Great arch support and comfortable.,5.0,AMAZON_FASHION_5,Great cross trainer
B001IKJOLW,It looks a bit nicer on the picture. Its very light in such a way that when I held the box I wondered if there was just paper filling inside. They are comfortable for the most. Good looking training shoes overall.,4.0,AMAZON_FASHION_5,They are comfortable for the most but just a bit narrow
B001IKJOLW,second pair. Comfortable and great for people with bunion issues or previous surgeries.  Sole wears great,5.0,AMAZON_FASHION_5,staple sneakers
B001IKJOLW,My daughter loves these shoes. Fit true to size.,5.0,AMAZON_FASHION_5,Great looking shoe
B001IKJOLW,Purchased for my daughter for gym class.  She loves them.  Very cute and very comfortable.,5.0,AMAZON_FASHION_5,Great shoes.
B001IKJOLW,Great look but zero support inside the shoe. Had to buy expensive inserts to be wearable. Expected more from a nike shoe.,3.0,AMAZON_FASHION_5,"Style 10/10, Comfort 3/10"
B001IKJOLW,"Straight out of the box, these shoes are great! Very lightweight and fits comfortably on my feet like a glove! I love most especially that the sole is not bulky like my previous running shoes  I hated those things lol! I would give them a shot and they are great for the price!",5.0,AMAZON_FASHION_5,these shoes are great! Very lightweight and fits comfortably on my feet ...
B001IKJOLW,Great shoes. Fit perfectly. Comfortable right from the start. Light weight and perfect for a 12 hour work shift. Good price also.,5.0,AMAZON_FASHION_5,Great shoes. Fit perfectly
B001IKJOLW,I love them! They fit perfect and are very comfortable!!,5.0,AMAZON_FASHION_5,Five Stars
B001IKJOLW,Love these lightweight shoes! Absolute favorite. Always order half a size bigger with nike shoes than with every other shoe in my closet.,5.0,AMAZON_FASHION_5,Perfect. Lightweight and comfortable all day
B001IKJOLW,My knees were bothering me during HIIT workouts so i  purchased these shoes after researching many styles.  Fit true to size and are lightweight.  My knees feel better so so hard so good.  They are cute in too!!,5.0,AMAZON_FASHION_5,My knees feel better so so hard so good
B001IKJOLW,Love the color!,5.0,AMAZON_FASHION_5,Five Stars
B001IKJOLW,"Comfortable athletic shoe,  good for the gym (ellipical, tredmill, etc.) Fit is good, and shoe is really lightweight and comfy.",4.0,AMAZON_FASHION_5,"Comfortable, lightweight Xtrainer"
B001IKJOLW,"The shoes fit perfectly and came within the time frame i was given.  Very comfortable, which is needed since my job requires a lot if standing abd walking throughout the day.",5.0,AMAZON_FASHION_5,Great shoe!
B001IKJOLW,They looked very cheap,1.0,AMAZON_FASHION_5,Returned...looked cheap
B001IKJOLW,The fit is as expected,5.0,AMAZON_FASHION_5,Fits to size
B001IKJOLW,Very comfortable shoes. This is my second pair of this style of shoe because I loved them that much.,5.0,AMAZON_FASHION_5,Very comfortable shoes. This is my second pair of this ...
B001IKJOLW,"Comfortable, consistent each time I order and good looking",5.0,AMAZON_FASHION_5,Sleek and sporty
B001IKJOLW,I love the shoe and it fit as expected the photos and description are accurate if you're looking for a shoe that has more cushion or support try a different style but as far as wanting a lightweight and breathable shoe this is it. I am very satisfied with this purchase,5.0,AMAZON_FASHION_5,I love the shoes and the description and photos were accurate
B001IKJOLW,These are so cute and comfortable and very light. I just received them today and the fit is perfect. I normally wear an 8 1/2 and they are true to size!,5.0,AMAZON_FASHION_5,Great fit!
B001IKJOLW,I always order a 1/2 size up in workout shoes.,5.0,AMAZON_FASHION_5,Lightweight
B001IKJOLW,"I wore these shoe one time, from the airport in Omaha, NE to the airport in Phoenix, AZ. When I arrived in Phoenix, the left shoe/sole started squeaking and won't stop. I want to return for a refund. Need instructions for returning as no paperwork was in my package when it arrived.",1.0,AMAZON_FASHION_5,Squeaky soles
B001IKJOLW,They run big and are super uncomfortable and the soles squeak. They don't breathe at all.,2.0,AMAZON_FASHION_5,Two Stars
B001IKJOLW,Exactly what I expected! Comfortable and chic,5.0,AMAZON_FASHION_5,Comfortable and
B001IKJOLW,They were a gift  to my daughter she loved them,5.0,AMAZON_FASHION_5,Their Cute and Pink
B001IKJOLW,Love these comfy shoes. they fit like a glove.,5.0,AMAZON_FASHION_5,Five Stars
B001IKJOLW,Very confortable.,5.0,AMAZON_FASHION_5,Smooth and confortable.
B001IKJOLW,i love these shoes.,5.0,AMAZON_FASHION_5,Five Stars
B001IKJOLW,"Lightweight, decent arch support and comfortably to wear all day doing regular activity and sprinting.",5.0,AMAZON_FASHION_5,decent arch support and comfortably to wear all day doing regular activity and sprinting
B001IKJOLW,daughter loves them,5.0,AMAZON_FASHION_5,Five Stars
B001IKJOLW,"I ordered a 1/2 size smaller than my usual size, and they are perfect. These shoes are hard to find. Great customer service as well.",5.0,AMAZON_FASHION_5,Good shoes
B001IKJOLW,"Very good overall.
Now Ive been a huge Sketchers Go Walk fan for some time and the only reason I tried these instead of the latest number 4 of those is because the tread looked too slippery to me.
These shoes are very sturdy and the grip of the soles has been very solid so far. I use them for basic workout cardio and cross training, as well as work as a massage therapist (I go through shoes fast enough that Ive recently consolidated).
If you're a Go Walk fan, these do not offer the same level of cushion-comfort as those, HOWEVER, they offer the kind of long-term comfort to make them a durable option.
The material of the shoes seem very durable and the breathable. My feet do not feel hot in them.
Now these shoes are ideal for a basic workout or cross training, I would not get them to do 25,000 steps in Walt Disney World.
Solid choice, overall.",4.0,AMAZON_FASHION_5,Good shoes
B001IKJOLW,Wife loves them!,5.0,AMAZON_FASHION_5,Five Stars
B001IKJOLW,"These shoes are extremely comfortable, and fit as expected.  Will purchase again.",5.0,AMAZON_FASHION_5,Five Stars
B001IKJOLW,Artculo equivocado en color,1.0,AMAZON_FASHION_5,One Star
B001IKJOLW,Glad I read the reviews and ordered a half size too big. These are light weight. I worked out in them last night and had a great work out. They are very comfortable. I would recommend these to anyone. I am a Beach Body Coach and these are now my new favorite shoes to work out in. I feel like I am walking in slippers when I wear these shoes. They are so comfortable. I LOVE them so much. I never buy myself anything nice and for Christmas got an Amazon gift card and used it to buy myself these sneakers and they are so awesome. I really do love them and have been telling all my friends about them. GET THESE SHOES!,5.0,AMAZON_FASHION_5,Glad I read the reviews and ordered a half size ...
B001IKJOLW,"On the left shoe, there were two stained yellow spots.",3.0,AMAZON_FASHION_5,Not in perfect condition
B001IKJOLW,"I love these, I had the previous iteration (or maybe two earlier?) and finally wore them out after several years. They are definitely a light-weight training shoe so I wouldn't get them if you are going to be doing a lot of running. But this also makes them extremely comfortable, I hadn't realized how hot running shoes made my feet until I switched to these. Good support and my feet stay cool all day, also noticeably light but well-made and long lasting.

I have worn them hiking in a pinch but don't really recommend it because the material is mesh-like and will let a lot of dirt in. But if you mainly take cardio classes and/or do weight training or just need something to wear around town look no further.",5.0,AMAZON_FASHION_5,"Very comfortable, cute, and long-lasting"
B001IKJOLW,"Super light-weight, decent arch support (mine is higher than average).  I was pleasantly surprised by the sole/tread on these for my circuit training classes, as I couldn't really tell by online pics.  Also pleasantly surprised that these ran ever so slightly bigger than Nike running shoes I use to wear 15+years ago - I always wore one to 1.5 sizes larger in their ""Hurache's""/running shoes, so I was really worried my size 6 would be too small - there is actually more toe room in these shoes than any other size 6 shoe I own (athletic, heel, boot).  But it is the correct amount of room from big toe to edge of shoe for me (an inch or less, I don't want my big toe being jammed into edge of shoe when lunging, jumping, etc.).  Shoes arrived with an odd yellowish color on side of one shoe, but no damage to box, paper lining etc - I was happy that a clorox wipe easily cleaned the shoe and did not discolor any further.  I am very happy and highly recommend, although I have only worked out it once!",5.0,AMAZON_FASHION_5,"Super light-weight, nice tread and arch support - love them so far!"
B001IKJOLW,I Love it. It is very light and the color is great.,5.0,AMAZON_FASHION_5,Five Stars
B001IKJOLW,"My wife loves these shoes. We have both been wearing sketchers and new balance for several years and recently we have both purchased Nike. There is a reason why Nike is still number 1 after all these years, you just cant beat their comfort.",5.0,AMAZON_FASHION_5,My wife loves these shoes. We have both been ...
B001IKJOLW,"Absolutly love these shoes!! Beautiful color, comfy, and lightweight",5.0,AMAZON_FASHION_5,New Favorite Shoes
B001IKJOLW,"I **loved** these shoes when I got them. I've noticed that the foam inside tends to compress during a workout, though. I'll lace them tightly enough that they're nearly cutting off my circulation. 20 minutes later, I'm sliding out of them while doing sled pushes.",2.0,AMAZON_FASHION_5,Foam compresses
B001IKJOLW,She loves them,5.0,AMAZON_FASHION_5,Five Stars
B001IKJOLW,"These are a bit longer than they should be. I usually wear a 9 but could have easily ordered a 8.5. The width is accurate.

The pink is even pinker than shown and the light gray is over the very bright pink so it isn't as gray as shown in the picture. It makes the shoe a bit overwhelming. Also two grommets on each shoe is dark. I'm not referring to the dark grommets closer to the toe as shown in the photo, I'm talking about two grommets up at the top of of the laces (opposite side of side shown in photo). I thought it was faulty at first until I noticed they were on the same side of each shoe. Kind of odd and not pictured.

Overall, they are very comfortable shoes which is why I am keeping them...even if you can see me coming from a mile away.",3.0,AMAZON_FASHION_5,I usually wear a 9 but could have easily ordered a 8
B001IKJOLW,great,5.0,AMAZON_FASHION_5,Five Stars
B001IKJOLW,c,5.0,AMAZON_FASHION_5,Five Stars
B001IKJOLW,Love them!,5.0,AMAZON_FASHION_5,Five Stars
B001IKJOLW,"Very nice shoe, just a bit to snug/small for my foot. The Flex wire really makes it the shoe fit tight to your foot. I need more ""wiggle"" room in my footwear, otherwise I would have kept them.",3.0,AMAZON_FASHION_5,Fits snug
B001IKJOLW,"Not sure why, but my mid section of my foot starts to hurt using these shoes for a long day or a tough workout at the gym. I've owned other nike shoes of this line but that never happened to me.",3.0,AMAZON_FASHION_5,"Not sure why, but my mid section of my ..."
B001IKJOLW,My New Gym shoes! Love them,4.0,AMAZON_FASHION_5,Love
B001IKJOLW,Perfect!,5.0,AMAZON_FASHION_5,Five Stars
B001IKJOLW,I usually wear a size 8 and they fit fine. These are way too narrow. Thought they might stretch out but they didnt. Had to give away.,1.0,AMAZON_FASHION_5,TOO NARROW!
B001IKJOLW,"Great shoe! Outside arch is kind of high, but I'm still breaking them in. So I'm sure that will work it's way out. I originally ordered a 9, my regular size, and it was a tad too big. Returned and ordered an 8.5 and it fits perfect!",5.0,AMAZON_FASHION_5,Consider sizing down 1 size
B001IKJOLW,I had to return the first pair and buy a 1/2 size smaller.  First time I've had to buy smaller for Nike.,4.0,AMAZON_FASHION_5,Seem to Run Big
B001IKJOLW,Fit comfortable,5.0,AMAZON_FASHION_5,Five Stars
B001IKJOLW,"My favorite running shoes!  The wall of the shoe is very thin, which makes them very comfortable to wear if your feet swell as you run.  I would not recommend for use on concrete or a treadmill, as there isn't very much impact absorption, but they are perfect for trail running!",5.0,AMAZON_FASHION_5,Perfect for trails
B001IKJOLW,Nice fit,4.0,AMAZON_FASHION_5,Four Stars
B001IKJOLW,"I bought these for gym training - weight class and dance class (body jam, Zumba) - and really wanted to like them, since I loved the color and the light weight feel. But when I worked out high impact, my toes tingled, went numb and cramped because the toe bed is very narrow. Also, there wasn't enough cushion for me. When doing lunges, the ball of my feet hurt. Can't return them because I wore them several times. These might be fine for someone with a narrow foot.",2.0,AMAZON_FASHION_5,"Zumba) - and really wanted to like them, since I loved the color and the ..."
B001IKJOLW,"They fit perfect, extremely comfortable",5.0,AMAZON_FASHION_5,Five Stars
B001IKJOLW,No arch support but l love the colors!,3.0,AMAZON_FASHION_5,Three Stars
B001IKJOLW,Shoe was somewhat large,4.0,AMAZON_FASHION_5,Size problem
B001IKJOLW,love them!,5.0,AMAZON_FASHION_5,Five Stars
B001IKJOLW,"This is a great shoe for in gym workouts. I did take a 10 mile hike and had a blister on my pinky, but other than that these are very comfortable shoes!",4.0,AMAZON_FASHION_5,"True to size, would recommend"
B001IKJOLW,Comfortable and light,5.0,AMAZON_FASHION_5,Best birthday present
B001IKJOLW,Purchased these for my wife as she has a similar pair that is wearing out.  She has feet are difficult to fit and these fit perfectly without pressure on sensitive portions of her feet.,5.0,AMAZON_FASHION_5,Purchased these for my wife as she has a similar ...
B001IKJOLW,"I have pretty high arches and my calves always hurt at the gym with other shoes. I have been on the hunt for a good cross trainer that I can use to lift, take gym classes, and lightly jog/run on the treadmill. These have been wonderful! I don't ever have any pain in my calves or my feet when wearing these and they fit like a glove. Highly recommend!",5.0,AMAZON_FASHION_5,I have pretty high arches and my calves always hurt at the ...
B001IKJOLW,Great shoes,5.0,AMAZON_FASHION_5,Five Stars
B001IKJOLW,These were exactly what I expected.,5.0,AMAZON_FASHION_5,Five Stars
B001IKJOLW,Love love love,5.0,AMAZON_FASHION_5,Five Stars
B001IKJOLW,I always wear a womans 9 in Nikes but these are bigger than usual. The right one almost slips off my foot a bit.  They are really light and not as sturdy as what I was looking for but over all not bad.,3.0,AMAZON_FASHION_5,They are really light and not as sturdy as what I was looking for but over all ...
B001IKJOLW,These shoes are awesome!!,5.0,AMAZON_FASHION_5,Five Stars
B001IKJOLW,"l always buy Nike shoes and been happy so far, but this time my left shoe fit perfectly while the right shoe was too loose on my heal and when I tighten it more it was hurting side of my foot.",3.0,AMAZON_FASHION_5,l always buy Nike shoes and been happy so far
B001IKJOLW,Bought these as my back up shoes but they have turned into my daily ones I go to! So comfortable and my feet don't hurt after long hours on my feet. I own a cleaning business so I need my feet not to hurt in the middle of the day.,5.0,AMAZON_FASHION_5,Honestly Fantastic Shoes
B001IKJOLW,Absolutely love these shoes and color!! They are perfect for running! I run roughly 4 miles 3x per week. This is my second or 3rd pair of this exact style. Fit is perfect!,5.0,AMAZON_FASHION_5,Absolutely love these shoes and color
B001IKJOLW,Super comfy!,5.0,AMAZON_FASHION_5,Five Stars
B001IKJOLW,Ordered half a size larger than my usual shoe size and fits perfectly.,5.0,AMAZON_FASHION_5,Nike runs small
B001IKJOLW,Fit well.,5.0,AMAZON_FASHION_5,Five Stars
B001IKJOLW,The fit was perfect! I Highly recommend this shoe.,5.0,AMAZON_FASHION_5,Five Stars
